1,指标名称,指标类别,频率,单位,来源,国家,更新时间
G1112114,"美国:新证券发行:美国企业:所有发行,新融资及再筹资",,月,百万美元,美联储,美国,2022-07-30
G1100322,美国:买入美国证券:净额:官方,,月,百万美元,美国财政部,美国,2022-08-16
G1133059,美国:适销短期和中长期国债:净现金融资,,月,十亿美元,美国证券业及金融市场协会,美国,2022-08-03
G1140071,美国:金融项目中的净贷出(+)或净借入(-):季调,,季,百万美元,美国经济分析局,美国,2022-06-24
G1147453,美国:净国际投资头寸,,季,百万美元,美国经济分析局,美国,2022-06-29
G1100344,美国:月度国际资本流动:净额:私人,,月,百万美元,美国财政部,美国,2022-08-16
G0003749,美国:外国投资者持有美国国债:合计,,月,十亿美元,美国财政部,美国,2022-08-16
G1112172,美国:海外交易证券:股票:净购买或销售(-),,月,百万美元,美联储,美国,2022-04-30
G1143819,美国:长期共同基金:现金净流量:股票:国内,,周,百万美元,投资公司协会,美国,2022-08-10
G1143820,美国:长期共同基金:现金净流量:股票:海外,,周,百万美元,投资公司协会,美国,2022-08-10
G1143822,美国:长期共同基金:现金净流量:债券,,周,百万美元,投资公司协会,美国,2022-08-10
G1112120,美国:融资融券账户:融资余额,,月,百万美元,美国金融监管局,美国,2022-07-19
G1112121,美国:融资融券账户:融券余额,,月,百万美元,美国金融监管局,美国,2022-07-19
G1100321,美国:买入美国证券:净额:私人:股票,,月,百万美元,美国财政部,美国,2022-08-16
G0002323,美国:供应管理协会(ISM):制造业PMI,,月,,根据新闻整理,美国,2022-08-02
G0008345,美国:ISM:制造业PMI:新订单,,月,,根据新闻整理,美国,2022-08-02
G0002324,美国:ISM:非制造业PMI,,月,,根据新闻整理,美国,2022-08-04
G1131661,美国:Markit制造业PMI:季调,,月,,根据新闻整理,美国,2022-08-02
G0002325,美国:密歇根大学消费者信心指数,,月,1966年2季=100,密歇根大学,美国,2022-08-13
G1100376,美国:商业预期:销售收入增长:平滑,,月,%,亚特兰大联储,美国,2022-07-27
G1100380,美国:商业不确定性:销售收入增长:平滑,,月,%,亚特兰大联储,美国,2022-07-27
G0003878,美国:Sentix投资信心指数,,月,,Sentix,美国,2022-08-08
G1100374,美国:芝加哥联储全国活动指数,,月,,芝加哥联储,美国,2022-07-23
G1100287,美国:ECRI领先指标,,周,,根据新闻整理,美国,2022-08-12
G1100288,美国:ECRI领先指标:增长年率,,周,%,根据新闻整理,美国,2022-08-12
G1100266,美国:费城联储制造业指数:季调,,月,,费城联储,美国,2022-07-22
G1120633,美国:IBD/TIPP经济乐观指数:总体,,月,%,根据新闻整理,美国,2022-07-13
G1131647,美国:中小企业乐观指数:季调,,月,1986年=100,全美独立企业联盟,美国,2022-08-10
G1107123,美国:高科技产品差额:总计,,月,百万美元,美国商务部普查局,美国,2022-08-05
G1101532,美国:贸易差额:中国:非季调,,月,百万美元,美国商务部,美国,2022-08-05
G0000017,美国:贸易差额:服务:季调,,月,百万美元,美国经济分析局,美国,2022-08-04
G0000015,美国:贸易差额:季调,,月,百万美元,美国经济分析局,美国,2022-08-04
G0003799,美国:经常项目差额:季调,,季,百万美元,美国经济分析局,美国,2022-06-24
G1122630,美国:住房购买力指数:固定指数,,月,,全美房地产经纪人协会,美国,2022-08-13
G0003391,美国:标准普尔/CS房价指数:20个大中城市,,月,2000年1月=100,标准普尔,美国,2022-07-27
G0003541,美国:建造支出:折年数:季调,,月,百万美元,美国商务部,美国,2022-08-02
G0005380,美国:成屋销售:中位价,,月,美元,全美地产经纪商协会,美国,2022-07-21
G0005379,美国:成屋月度供给,,月,月,全美地产经纪商协会,美国,2022-07-21
G0003745,美国:成屋销售:折年数:季调,,月,万套,全美地产经纪商协会,美国,2022-07-21
G0003663,美国:新建住房销售:中位价,,月,美元,美国商务部,美国,2022-07-27
G0003655,美国:新建住房待售,,月,千套,美国商务部,美国,2022-07-27
G0003650,美国:新建住房销售:折年数:季调,,月,千套,美国商务部,美国,2022-07-27
G0003746,美国:丧失住房赎回权案例数量,,月,件,美国不动产追踪公司,美国,2022-06-21
G0003891,美国:个人消费支出:不变价:季调,,月,十亿美元,美国经济分析局,美国,2022-07-29
G1112671,美国:红皮书商业零售销售:周同比,,周,%,根据新闻整理,美国,2022-08-16
U1435498,美国:零售库存:总计:季调,,月,百万美元,美国商务部,美国,2022-07-16
G0003682,美国:零售和食品服务销售额:机动车辆及零部件店:季调,,月,百万美元,美国商务部普查局,美国,2022-07-16
G0003681,美国:零售和食品服务销售额:零售总计(不包括机动车辆及零部件店):季调,,月,百万美元,美国商务部普查局,美国,2022-07-16
